0,-nan
0.00416667,-nan
0.00833333,-nan
0.0125,-nan
0.0166667,-nan
0.0208333,-nan
0.025,-nan
0.0291667,-nan
0.0333333,-nan
0.0375,-nan
0.0416667,-nan
0.0458333,-nan
0.05,-nan
0.0541667,-nan
0.0583333,-nan
0.0625,-nan
0.0666667,-nan
0.0708333,-nan
0.075,-nan
0.0791667,-nan
0.0833333,-nan
0.0875,-nan
0.0916667,-nan
0.0958333,-nan
0.1,-nan
0.104167,-nan
0.108333,-nan
0.1125,-nan
0.116667,-nan
0.120833,-nan
0.125,-nan
0.129167,-nan
0.133333,-nan
0.1375,-nan
0.141667,-nan
0.145833,-nan
0.15,-nan
0.154167,-nan
0.158333,-nan
0.1625,-nan
0.166667,-nan
0.170833,-nan
0.175,-nan
0.179167,-nan
0.183333,-nan
0.1875,-nan
0.191667,-nan
0.195833,-nan
0.2,-nan
0.204167,-nan
0.208333,-nan
0.2125,-nan
0.216667,-nan
0.220833,-nan
0.225,-nan
0.229167,-nan
0.233333,-nan
0.2375,-nan
0.241667,-nan
0.245833,-nan
